"x", "y", "value"
0,0,0
0,1,1
0,2,1
0,3,2
0,4,3
0,5,5
0,6,8
0,7,13
0,8,21
0,9,34
0,10,55
0,11,89
0,12,144
0,13,233
0,14,377
0,15,610
0,16,987
0,17,1597
0,18,2584
0,19,4181
0,20,6765
0,21,10946
0,22,17711
0,23,28657
0,24,46368
0,25,75025
0,26,121393
0,27,196418
0,28,317811
0,29,514229
0,30,832040
0,31,1346269
0,32,2178309
0,33,3524578
0,34,5702887
0,35,9227465
0,36,14930352
0,37,24157817
0,38,39088169
0,39,63245986
0,40,102334155
0,41,165580141
0,42,267914296
0,43,433494437
0,44,701408733
0,45,1134903170
0,46,1836311903
0,47,2971215073
0,48,4807526976
0,49,7778742049
0,50,12586269025
0,51,20365011074
1,0,1
1,1,245.57976248618687
1,2,530.2849545041536
1,3,857.863920043123
1,4,1343.866836072343
1,5,1909.2633101483857
1,6,2813.3895093063475
1,7,3980.799842770312
1,8,5835.246892778324
1,9,8394.555179441393
1,10,12338.821207059034
1,11,17933.4339057891
1,12,26310.171999048627
1,13,38245.56187764499
1,14,55705.380408063276
1,15,80427.79340386626
1,16,115914.1857706395
1,17,165631.255655137
1,18,235845.431390023
1,19,333050.9172583557
1,20,468371.19824690325
1,21,653532.6344755059
1,22,908035.7870325446
1,23,1252644.413485904
1,24,1721220.5693123108
1,25,2350373.525383482
1,26,3198857.8671608698
1,27,4331966.565655718
1,28,5852935.454093017
1,29,7881436.230706222
1,30,10604081.13316168
1,31,14249237.648263756
1,32,19168947.369429134
1,33,25820035.580217198
1,34,34901221.397563905
1,35,47369350.91310797
1,36,64682027.68781422
1,37,88921596.47121067
1,38,123255480.31473777
1,39,172339044.09822735
1,40,243245325.1894591
1,41,346528071.7251101
1,42,498160201.3607617
1,43,722026750.2201626
1,44,1053854700.1732888
1,45,1546247692.3840494
1,46,2275247138.690423
1,47,3346254056.4259334
1,48,4893383240.036316
1,49,7049986939.319973
1,50,9818105444.302431
1,51,12586269025
2,0,1
2,1,531.41074103485
2,2,1105.6942121467587
2,3,1814.979128709673
2,4,2653.241182545895
2,5,3963.064712255429
2,6,5541.137706600527
2,7,8083.182732643162
2,8,11456.953008112003
2,9,16760.89873957901
